,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
452,5.102372908709558,4.867698346190075,intermediate,active
473,5.0,5.442992040357864,active,intermediate
475,6.096910013008056,5.86994508294169,inactive,intermediate
478,5.070581074285707,4.846091981654102,intermediate,active
491,5.0,5.504828018872856,active,intermediate
492,5.059483515067432,4.904443719888096,intermediate,active
506,5.082494490447453,4.997543108789369,intermediate,active
519,4.903541888282547,5.095011620886776,active,intermediate
527,5.96818772866963,6.017834144905612,intermediate,inactive
529,5.0,5.119828618537952,active,intermediate
541,4.800000052738446,5.103834632752121,active,intermediate
543,4.480000028175458,5.307464697368411,active,intermediate
554,6.1810025663760735,5.704859603203695,inactive,intermediate
570,5.022276394711152,4.921417115667059,intermediate,active
574,5.107905397309519,4.898406520669912,intermediate,active
629,5.075720713938118,4.93144429654924,intermediate,active
634,6.01199876052422,5.47430627573063,inactive,intermediate
666,6.0,5.634109415957973,inactive,intermediate
671,5.221848749616356,4.874499511643288,intermediate,active
681,5.694648630553377,6.080503295990769,intermediate,inactive
682,6.096910013008056,5.134563944533191,inactive,intermediate
689,6.0,5.714071329661084,inactive,intermediate
714,4.869344650977969,5.015811100140365,active,intermediate
724,5.920818753952375,6.073960400510625,intermediate,inactive
742,6.301029995663981,5.734329008119789,inactive,intermediate
754,5.886056647693163,6.081560824123529,intermediate,inactive
767,4.863279432843593,5.059011143644185,active,intermediate
784,6.275724130399211,5.954170335390394,inactive,intermediate
785,4.752026733638194,5.181828467640363,active,intermediate
794,4.978810700930062,5.365430989523082,active,intermediate
836,4.747146969020107,5.117510801123224,active,intermediate
840,5.031517051446065,4.958376134011603,intermediate,active
846,4.804100347590766,5.0733395454729875,active,intermediate
852,5.070581074285707,4.98248373923087,intermediate,active
879,4.318758762624412,5.003575520878728,active,intermediate
894,4.70999991085297,5.0150849655841405,active,intermediate
895,5.886056647693163,6.064931319220294,intermediate,inactive
900,5.110000065251387,4.947655264280056,intermediate,active
910,5.190000154058473,4.959235183435303,intermediate,active
924,5.576754126063192,6.101312329037194,intermediate,inactive
956,4.708187312532881,5.0665884055055015,active,intermediate
994,5.52432881167557,6.00193971716566,intermediate,inactive
998,5.559090917934782,6.148765698002372,intermediate,inactive
1000,4.101823516502323,5.090201117414164,active,intermediate
1001,5.709965388637482,6.160690865600852,intermediate,inactive
1011,4.698970004336019,5.01078376337586,active,intermediate
1014,4.698970004336019,5.100898251376353,active,intermediate
1016,5.0,5.115181065529423,active,intermediate
1017,5.0,5.089910748669319,active,intermediate
1028,5.962573502059376,6.194020866854297,intermediate,inactive
1065,5.258848401148215,6.897638320285339,intermediate,inactive
1072,6.214670164989233,5.973458396752645,inactive,intermediate
1081,4.9694002780340485,5.06184065522372,active,intermediate
1159,5.0,5.10993987237271,active,intermediate
1160,5.0,5.021350246357816,active,intermediate
1162,5.0,5.083131241445922,active,intermediate
1165,5.0,5.106488887352514,active,intermediate
1166,5.0,5.073624760374477,active,intermediate
1167,5.0,5.111718952266549,active,intermediate
1168,5.0,5.297551997338339,active,intermediate
1170,6.0,5.79970900844021,inactive,intermediate
1173,6.096910013008056,5.770452989363735,inactive,intermediate
1176,4.928117992693875,5.145940119484077,active,intermediate
1179,4.510000060783276,5.292521259900473,active,intermediate
1225,4.777283528852417,5.194252825471007,active,intermediate
1231,5.798602875679548,6.045932491943762,intermediate,inactive
1238,5.645891560852599,6.034553692424663,intermediate,inactive
1244,4.609064892896621,5.353840034968784,active,intermediate
1268,4.935542010773082,5.612977990882646,active,intermediate
1348,6.017728766960431,5.428286556124879,inactive,intermediate
1360,5.0,5.419922621515207,active,intermediate
1367,4.548213564475709,5.306906642074455,active,intermediate
1399,4.779891911959945,5.001266692368833,active,intermediate
1461,6.2441251443275085,5.921273824439562,inactive,intermediate
1495,5.229147988357856,4.990929372002732,intermediate,active
1503,5.0,5.042219010893913,active,intermediate
1514,4.958607314841775,5.139564667536103,active,intermediate
1517,4.931814138253839,5.2654128778182185,active,intermediate
1531,4.832682665251824,5.180237350435143,active,intermediate
1532,4.649751981665837,5.196180015722519,active,intermediate
1533,4.716698771296451,5.417022563985168,active,intermediate
1552,5.939302159646388,6.158388192563894,intermediate,inactive
1557,6.455931955649724,5.971569636325282,inactive,intermediate
1559,4.600000074606178,5.299218698601419,active,intermediate
1560,5.899998417198648,6.34079608287253,intermediate,inactive
1564,4.499999953328896,5.073612384526528,active,intermediate
1579,4.522878745280337,5.207684955500553,active,intermediate
1581,5.221848749616356,4.837654512215493,intermediate,active
1606,4.931814138253839,5.016167746429555,active,intermediate
1608,6.200659450546418,5.798782347224002,inactive,intermediate
1609,4.542118103266008,5.184432064098465,active,intermediate
1610,5.943095148663527,6.053036382449525,intermediate,inactive
1637,6.107905397309519,5.947801623904781,inactive,intermediate
1644,6.0,5.884964217323228,inactive,intermediate
1645,4.767003889607846,5.094260915455381,active,intermediate
1647,4.899629454882437,5.096901984508717,active,intermediate
1648,5.0,5.003874763882238,active,intermediate
1651,6.154901959985743,5.981709992694171,inactive,intermediate
1657,4.709965388637482,5.255710790399199,active,intermediate
1678,6.090443970758825,5.997155636491783,inactive,intermediate
1680,4.876148359032914,5.192430593263533,active,intermediate
1700,5.876148359032914,6.199541240726871,intermediate,inactive
1703,6.072116589669293,5.623076486641254,inactive,intermediate
1719,4.903541888282547,5.095011620886776,active,intermediate
1730,5.96818772866963,6.017876106051549,intermediate,inactive
1749,4.920818753952375,5.345553650274107,active,intermediate
1751,6.180456064458132,5.882483636750226,inactive,intermediate
1770,5.958607314841775,6.081037726443868,intermediate,inactive
1775,5.920818753952375,6.296367415648203,intermediate,inactive
1817,6.0,5.745575530607024,inactive,intermediate
1828,5.0,5.168525795244434,active,intermediate
1831,4.958607314841775,5.0262160875587885,active,intermediate
1832,6.130768280269024,5.9418985990849595,inactive,intermediate
1834,4.251811972993799,5.075968995496693,active,intermediate
1836,4.886056647693163,5.113688367595947,active,intermediate
1858,5.958607314841775,6.26260198665063,intermediate,inactive
1861,5.0,5.242670771034004,active,intermediate
1866,5.0,5.019052704796502,active,intermediate
1904,4.823908740944319,5.343901985375851,active,intermediate
1940,6.1249387366083,5.947688103995049,inactive,intermediate
1971,6.229147988357855,5.697028755077542,inactive,intermediate
1972,6.2076083105017466,5.744972713366756,inactive,intermediate
1973,6.050609993355087,5.764180090550502,inactive,intermediate
1979,5.173925197299174,4.914772453287961,intermediate,active
1982,4.886056647693163,5.123957693117347,active,intermediate
1983,4.853871964321762,5.103886382539,active,intermediate
1994,7.0,5.780883144552197,inactive,intermediate
2026,5.036212172654444,4.91061662592204,intermediate,active
2032,5.795880017344075,6.003498204890181,intermediate,inactive
2034,6.0,5.6198084573124785,inactive,intermediate
2036,4.823908740944319,5.106476644406919,active,intermediate
2047,4.950781977329818,5.076835453436121,active,intermediate
2051,4.87942606879415,5.105871871193026,active,intermediate
2060,4.913640169325252,5.106488276804363,active,intermediate
2062,4.813326132500255,5.017558240795434,active,intermediate
2078,5.0,5.387819901556228,active,intermediate
